,index,무인교통단속카메라관리번호,시도명,시군구명,도로종류,도로노선번호,도로노선명,도로노선방향,소재지도로명주소,소재지지번주소,위도,경도,설치장소,단속구분,제한속도,단속구간위치구분,과속단속구간길이,보호구역구분,설치연도,관리기관명,관리기관전화번호,데이터기준일자,제공기관코드,제공기관명,지역
2,704,43,서울특별시,강북구,일반국도,3번,삼양로,2,서울특별시 강북구 삼양로 416,,37.64061418,127.0171631,가오리소방서 앞 사거리,4,0,,,99,2020,서울특별시 강북구청,02-901-5964,2021-11-03,3080000,서울특별시 강북구,서울
3,705,44,서울특별시,강북구,일반국도,3번,삼양로,2,서울특별시 강북구 삼양로24길 19,,37.61744965,127.0219965,송천동 성당 앞,4,0,,,99,2020,서울특별시 강북구청,02-901-5964,2021-11-03,3080000,서울특별시 강북구,서울
4,706,45,서울특별시,강북구,일반국도,3번,삼양로,2,서울특별시 강북구 삼양로54길 60,,37.62328133,127.0213105,강북청소년문화정보도서관 인근,4,0,,,99,2020,서울특별시 강북구청,02-901-5964,2021-11-03,3080000,서울특별시 강북구,서울
23,750,35,서울특별시,강북구,일반국도,3번,오패산로,3,서울특별시 강북구 오패산로30길 30,,37.61635549,127.0356169,경남아너스빌 103동,4,0,,,99,2018,서울특별시 강북구청,02-901-5964,2021-11-03,3080000,서울특별시 강북구,서울
24,751,36,서울특별시,강북구,일반국도,3번,솔샘로,3,서울특별시 강북구 솔샘로 331,,37.61739162,127.0291006,조이마트,4,0,,,99,2018,서울특별시 강북구청,02-901-5964,2021-11-03,3080000,서울특별시 강북구,서울
25,752,37,서울특별시,강북구,일반국도,3번,삼양로,3,서울특별시 강북구 삼양로77길 95,,37.6277126,127.0130457,삼흥연립,4,0,,,99,2018,서울특별시 강북구청,02-901-5964,2021-11-03,3080000,서울특별시 강북구,서울
26,753,38,서울특별시,강북구,일반국도,3번,삼양로,3,서울특별시 강북구 삼양로77길 66,,37.6287011,127.0149752,빨래곳 방앗간,4,0,,,99,2018,서울특별시 강북구청,02-901-5964,2021-11-03,3080000,서울특별시 강북구,서울
27,754,39,서울특별시,강북구,일반국도,3번,삼양로,3,서울특별시 강북구 삼양로77길 38,,37.6294416,127.0161425,한빛예술단,4,0,,,99,2018,서울특별시 강북구청,02-901-5964,2021-11-03,3080000,서울특별시 강북구,서울
28,755,40,서울특별시,강북구,일반국도,3번,삼양로,3,서울특별시 강북구 삼양로145길 7,,37.65154554,127.0122203,솔밭근린공원,4,0,,,99,2020,서울특별시 강북구청,02-901-5964,2021-11-03,3080000,서울특별시 강북구,서울
29,756,41,서울특별시,강북구,일반국도,3번,솔샘로,1,서울특별시 강북구 솔샘로 229-1,,37.62014362,127.0182276,미양 온누리약국,4,0,,,99,2020,서울특별시 강북구청,02-901-5964,2021-11-03,3080000,서울특별시 강북구,서울
30,757,42,서울특별시,강북구,일반국도,3번,인수봉로,3,서울특별시 강북구 인수봉로23가길 3,,37.62770912,127.0118222,SH스카이 아파트,4,0,,,99,2020,서울특별시 강북구청,02-901-5964,2021-11-03,3080000,서울특별시 강북구,서울
45,2273,주차56,서울특별시,강동구,시도,0,아리수로,1,서울특별시 강동구 아리수로50길 50,서울특별시 강동구 고덕동 688,37.55768914,127.149669,두레근린공원사거리,4,0,,200,,2019,서울특별시 강동구청,02-3425-6317,2021-08-24,3240000,서울특별시 강동구,서울
46,2274,주차57,서울특별시,강동구,시도,0,성안로,2,서울특별시 강동구 성안로 76,서울특별시 강동구 성내동 409-3,37.530378,127.132033,농협입구교차로,4,0,,200,,2019,서울특별시 강동구청,02-3425-6317,2021-08-24,3240000,서울특별시 강동구,서울
47,2275,주차58,서울특별시,강동구,시도,0,상일로,3,서울특별시 강동구 상일로11길 110,서울특별시 강동구 상일동 520-5,37.553392,127.165104,고현초교 앞,4,0,,200,2,2020,서울특별시 강동구청,02-3425-6317,2021-08-24,3240000,서울특별시 강동구,서울
48,2276,주차59,서울특별시,강동구,시도,0,양재대로,3,서울특별시 강동구 양재대로156길 11,서울특별시 강동구 고덕동 487-15,37.556636,127.144803,명덕초교 앞,4,0,,200,2,2020,서울특별시 강동구청,02-3425-6317,2021-08-24,3240000,서울특별시 강동구,서울
49,2277,주차60,서울특별시,강동구,시도,0,고덕로,3,서울특별시 강동구 고덕로80길 7,서울특별시 강동구 상일동 520-2,37.556539,127.165508,상일파출소 앞,4,0,,200,,2020,서울특별시 강동구청,02-3425-6317,2021-08-24,3240000,서울특별시 강동구,서울
50,2278,주차61,서울특별시,강동구,시도,0,구천면로,1,서울특별시 강동구 구천면로93길 20,서울특별시 강동구 상일동 125,37.55154262,127.168561,고일초교 앞,4,0,,200,2,2020,서울특별시 강동구청,02-3425-6317,2021-08-24,3240000,서울특별시 강동구,서울
51,2279,주차62,서울특별시,강동구,시도,0,고덕로,1,서울특별시 강동구 고덕로46길 53,서울특별시 강동구 명일동 296-1,37.552208,127.146122,고명초교 앞,4,0,,200,2,2020,서울특별시 강동구청,02-3425-6317,2021-08-24,3240000,서울특별시 강동구,서울
52,2280,주차63,서울특별시,강동구,시도,0,아리수로,3,서울특별시 강동구 아리수로98길 24,서울특별시 강동구 강일동 685,37.564392,127.178237,강일초교 앞,4,0,,200,2,2020,서울특별시 강동구청,02-3425-6317,2021-08-24,3240000,서울특별시 강동구,서울
53,2281,주차64,서울특별시,강동구,시도,0,명일로,1,서울특별시 강동구 명일로 262,서울특별시 강동구 길동 82-4,37.542021,127.147479,강동에코포레,4,0,,200,2,2020,서울특별시 강동구청,02-3425-6317,2021-08-24,3240000,서울특별시 강동구,서울
54,2282,주차65,서울특별시,강동구,시도,0,상일로,2,서울특별시 강동구 상일로15길 24,서울특별시 강동구 고덕동 193-3,37.558169,127.169929,고덕센트럴푸르지오,4,0,,200,,2020,서울특별시 강동구청,02-3425-6317,2021-08-24,3240000,서울특별시 강동구,서울
55,2283,주차66,서울특별시,강동구,시도,0,고덕로,3,서울특별시 강동구 고덕로97길 80,서울특별시 강동구 강일동 694,37.56186962,127.1802671,강솔초교 앞,4,0,,200,2,2020,서울특별시 강동구청,02-3425-6317,2021-08-24,3240000,서울특별시 강동구,서울
56,2284,주차67,서울특별시,강동구,시도,0,고덕로,3,서울특별시 강동구 고덕로80길 123,서울특별시 강동구 상일동 513,37.55093094,127.1655961,강동고교입구 교차로,4,0,,200,,2020,서울특별시 강동구청,02-3425-6317,2021-08-24,3240000,서울특별시 강동구,서울
62,2478,주정차단속-097,서울특별시,마포구,구도,48,월드컵북로,3,서울특별시 마포구 월드컵북로 332,,37.57588127,126.8949827,서동한우 주변,4,0,,,,2016,마포구청,02-3153-9655,2020-10-29,3130000,서울특별시 마포구,서울
63,2479,주정차단속-098,서울특별시,마포구,구도,없음,대흥로20길,3,서울특별시 마포구 대흥로20길 28,,37.54990609,126.946079,마포자이A3차주변,4,0,,,2,2019,마포구청,02-3153-9655,2020-10-29,3130000,서울특별시 마포구,서울
64,2480,주정차단속-099,서울특별시,마포구,구도,없음,백범로17길,3,서울특별시 마포구 백범로17길 38,,37.548775,126.944537,용강초등학교 후문 주변,4,0,,,2,2019,마포구청,02-3153-9655,2020-10-29,3130000,서울특별시 마포구,서울
65,2481,주정차단속-100,서울특별시,마포구,구도,없음,양화로18길,3,서울특별시 마포구 양화로18길 3,,37.557138,126.9245703,홍대입구역 8번출구 주변,4,0,,,,2019,마포구청,02-3153-9655,2020-10-29,3130000,서울특별시 마포구,서울
66,2482,주정차단속-101,서울특별시,마포구,구도,없음,독막로,3,서울특별시 마포구 독막로 210,,37.547256,126.936958,성원아파트 주변,4,0,,,2,2019,마포구청,02-3153-9655,2020-10-29,3130000,서울특별시 마포구,서울
67,2483,주정차단속-102,서울특별시,마포구,구도,없음,마포대로11길,3,서울특별시 마포구 마포대로11길 84,,37.548872,126.950461,마포현대아파트 상가 주변,4,0,,,,2019,마포구청,02-3153-9655,2020-10-29,3130000,서울특별시 마포구,서울
68,2484,주정차단속-103,서울특별시,마포구,구도,없음,대흥로,3,서울특별시 마포구 대흥로 104,,37.549023,126.942999,세헌오피스텔 주변,4,0,,,,2020,마포구청,02-3153-9655,2020-10-29,3130000,서울특별시 마포구,서울
69,2485,주정차단속-104,서울특별시,마포구,구도,없음,신촌로,3,서울특별시 마포구 신촌로 182,,37.555331,126.945844,신촌그랑자이 주변,4,0,,,,2020,마포구청,02-3153-9655,2020-10-29,3130000,서울특별시 마포구,서울
70,2486,주정차단속-105,서울특별시,마포구,구도,없음,양화로,3,서울특별시 마포구 양화로 72,,37.551297,126.916565,효성해링턴타워(서교빌딩 쪽) 주변,4,0,,,,2020,마포구청,02-3153-9655,2020-10-29,3130000,서울특별시 마포구,서울
71,2487,주정차단속-106,서울특별시,마포구,구도,없음,양화로,3,서울특별시 마포구 양화로 72,,37.550898,126.916033,효성해링턴타워(한동빌딩 쪽) 주변,4,0,,,,2020,마포구청,02-3153-9655,2020-10-29,3130000,서울특별시 마포구,서울
72,2488,주정차단속-107,서울특별시,마포구,구도,없음,어울마당로,3,서울특별시 마포구 어울마당로 65,,37.550707,126.921242,홍대 상상마당 주변,4,0,,,,2020,마포구청,02-3153-9655,2020-10-29,3130000,서울특별시 마포구,서울
86,2564,주차50,서울특별시,강동구,구도,0,상일로10길,3,서울특별시 강동구 상일로10길 36,서울특별시 강동구 상일동 501,37.5508023,127.1740049,고덕리엔파크3단지 서문,4,0,,200,2,2016,서울특별시 강동구청,02-3425-6317,2021-08-24,3240000,서울특별시 강동구,서울
87,2565,주차51,서울특별시,강동구,시도,0,진황도로,2,서울특별시 강동구 진황도로 190,서울특별시 강동구 둔촌동 75-6,37.52925982,127.142983,보훈병원 사거리,4,0,,200,2,2017,서울특별시 강동구청,02-3425-6317,2021-08-24,3240000,서울특별시 강동구,서울
88,2566,주차52,서울특별시,강동구,시도,0,올림픽로,3,서울특별시 강동구 올림픽로721,서울특별시 강동구 천호동 323-6,37.5457433,127.125758,천호공원 사거리,4,0,,200,,2017,서울특별시 강동구청,02-3425-6317,2021-08-24,3240000,서울특별시 강동구,서울
89,2567,주차53,서울특별시,강동구,시도,0,상일로,3,서울특별시 강동구 상일로 21,서울특별시 강동구 상일동 284-7,37.5489164,127.1729356,삼성엔지니어링 입구 사거리,4,0,,200,,2018,서울특별시 강동구청,02-3425-6317,2021-08-24,3240000,서울특별시 강동구,서울
90,2568,주차54,서울특별시,강동구,시도,0,천호대로,3,서울특별시 강동구 천호대로 1032,서울특별시 강동구 성내동 9-5,37.5373037,127.1265119,국민은행 천호역지점 앞,4,0,,200,,2018,서울특별시 강동구청,02-3425-6317,2021-08-24,3240000,서울특별시 강동구,서울
91,2569,주차55,서울특별시,강동구,시도,0,아리수로,3,서울특별시 강동구 아리수로 426,서울특별시 강동구 강일동 565,37.5637274,127.1746656,"강일3,6단지 교차로",4,0,,200,,2018,서울특별시 강동구청,02-3425-6317,2021-08-24,3240000,서울특별시 강동구,서울
125,4516,F9335,서울특별시,구로구,특별시도,,사가정로,2,서울특별시 구로구 오리로,서울특별시 구로구 오류동 213-4,37.48825,126.836806,오남중학교 입구,2,60,,,99,2016,서울지방경찰청,02-700-5031,2020-05-31,1320000,경찰청,서울
126,4517,F9336,서울특별시,도봉구,특별시도,,노해로,2,서울특별시 도봉구 노해로,서울특별시 도봉구 쌍문동 315-8,37.650056,127.02798,숭미초등학교 앞,2,30,,,2,2016,서울지방경찰청,02-700-5031,2020-05-31,1320000,경찰청,서울
127,4518,F9337,서울특별시,동대문구,특별시도,,국회대로,1,서울특별시 동대문 사가정로,서울특별시 동대문구 전농동 307-7,37.574515,127.053466,전농초등학교,2,40,,,2,2016,서울지방경찰청,02-700-5031,2020-05-31,1320000,경찰청,서울
128,4519,F9338,서울특별시,동작구,특별시도,,노량진로,2,서울특별시 동작구 노량진로 148,,37.513503,126.942742,동작경찰서 앞 삼거리,2,50,,,99,2016,서울지방경찰청,02-700-5031,2020-05-31,1320000,경찰청,서울
129,4520,F9339,서울특별시,마포구,특별시도,,가양대로,1,서울특별시 마포구 가양대로,서울특별시 마포구 상암동 1694-4,37.583334,126.882516,월드컵파크7단지 교차로,2,60,,,99,2016,서울지방경찰청,02-700-5031,2020-05-31,1320000,경찰청,서울
130,4521,F9340,서울특별시,마포구,고속국도,70번,강변북로,2,서울특별시 마포구 강변북로,서울특별시 마포구 망원동 229-3,37.552464,126.900251,구리방향 한강시민공원망원지구,1,80,,,99,2016,서울지방경찰청,02-700-5031,2020-05-31,1320000,경찰청,서울
131,4522,F9341,서울특별시,서대문구,고속국도,30번,내부순환로,2,서울특별시 서대문구 내부순환로,서울특별시 서대문구 연희동 172-87,37.578381,126.931944,두산@앞,1,70,,,99,2016,서울지방경찰청,02-700-5031,2020-05-31,1320000,경찰청,서울
132,4523,F9342,서울특별시,서초구,특별시도,,효령로,1,서울특별시 서초구 효령로,서울특별시 서초구 방배동 917-7,37.480058,126.993807,대우효령아파트 교차로,2,50,,,99,2016,서울지방경찰청,02-700-5031,2020-05-31,1320000,경찰청,서울
133,4524,F9343,서울특별시,성동구,특별시도,,고산자로,1,서울특별시 성동구 고산자로,서울특별시 성동구 성수동1가 685-355,37.547229,127.036727,응봉교 교차로,2,60,,,99,2016,서울지방경찰청,02-700-5031,2020-05-31,1320000,경찰청,서울
134,4525,F9344,서울특별시,성북구,특별시도,,동소문로,2,서울특별시 성북구 동소문로,서울특별시 성북구 성북동1가 50-2,37.58847,127.005595,한성대입구역 교차로,2,50,,,99,2016,서울지방경찰청,02-700-5031,2020-05-31,1320000,경찰청,서울
135,4526,F9345,서울특별시,성북구,특별시도,,화랑로,2,서울특별시 성북구 화랑로 368,,37.61556,127.068976,서울특별시민방위교육장 앞,2,60,,,99,2016,서울지방경찰청,02-700-5031,2020-05-31,1320000,경찰청,서울
136,4527,F9346,서울특별시,양천구,특별시도,,목동서로,2,서울특별시 양천구 목동서로,서울특별시 양천구 목동 901-7,37.537524,126.880805,목동신시가지1단지101동 앞,2,50,,,99,2016,서울지방경찰청,02-700-5031,2020-05-31,1320000,경찰청,서울
137,4528,F9347,서울특별시,영등포구,특별시도,,오리로,1,서울특별시 영등포 국회대로,서울특별시 영등포구 당산동3가 3-3,37.526636,126.901504,영등포경찰서건너편,2,60,,,99,2016,서울지방경찰청,02-700-5031,2020-05-31,1320000,경찰청,서울
138,4529,F9348,서울특별시,용산구,특별시도,,한강대로,1,서울특별시 용산구 한강대로,서울특별시 용산구 한강로1가 97,37.535846,126.974505,삼각지교차로,2,50,,,99,2016,서울지방경찰청,02-700-5031,2020-05-31,1320000,경찰청,서울
139,4530,F9349,서울특별시,은평구,특별시도,,수색로,2,서울특별시 은평구 수색로,서울특별시 은평구 수색동 407-2,37.586826,126.887184,수색교,2,50,,,99,2016,서울지방경찰청,02-700-5031,2020-05-31,1320000,경찰청,서울
140,4531,F9350,서울특별시,은평구,특별시도,,연서로,1,서울특별시 은평구 연서로,서울특별시 은평구 진관동 128-45,37.64278,126.938891,진관사입구 교차로,2,50,,,99,2016,서울지방경찰청,02-700-5031,2020-05-31,1320000,경찰청,서울
141,4532,F9351,서울특별시,중랑구,특별시도,,용마산로,1,서울특별시 중랑구 용마산로 363,,37.584507,127.094309,중화중학교 앞,2,60,,,99,2016,서울지방경찰청,02-700-5031,2020-05-31,1320000,경찰청,서울
145,4542,F8695,서울특별시,송파구,특별시도,,중대로,1,서울특별시 송파구 중대로,서울특별시 송파구 오금동 89,37.507481,127.133137,백토공원사거리,2,50,,,99,2017,서울지방경찰청,02-700-5031,2020-05-31,1320000,경찰청,서울
146,4543,F9093,서울특별시,관악구,특별시도,,난곡로,1,서울특별시 관악구 난곡로,서울특별시 관악구 신림동 637-15,37.470062,126.920132,우림시장앞,2,30,,,2,2016,서울지방경찰청,02-700-5031,2020-05-31,1320000,경찰청,서울
147,4544,F9094,서울특별시,관악구,특별시도,,호암로,1,서울특별시 관악구 호암로,서울특별시 관악구 신림동 산 102-13,37.459187,126.922685,관악산 휴먼시아아파트 앞,2,40,,,99,2016,서울지방경찰청,02-700-5031,2020-05-31,1320000,경찰청,서울
148,4545,F9095,서울특별시,관악구,특별시도,,관악로,1,서울특별시 관악구 관악로,서울특별시 관악구 봉천동 1596-8,37.475738,126.952838,청룡초등학교입구,2,60,,,99,2016,서울지방경찰청,02-700-5031,2020-05-31,1320000,경찰청,서울
149,4546,F9096,서울특별시,중구,특별시도,,세종대로,1,서울특별시 중구 세종대로,서울특별시 중구 남대문로5가 84-15,37.556312,126.972805,서울역 교차로,2,50,,,99,2016,서울지방경찰청,02-700-5031,2020-05-31,1320000,경찰청,서울
150,4547,F9097,서울특별시,중구,특별시도,,통일로,2,서울특별시 중구 통일로,서울특별시 중구 남대문로5가 9-2,37.556334,126.97287,서울역 교차로,2,50,,,99,2016,서울지방경찰청,02-700-5031,2020-05-31,1320000,경찰청,서울
151,4548,F9098,서울특별시,송파구,특별시도,,새말로,2,서울특별시 송파구 새말로 27,,37.480288,127.118207,서울지방경찰청 제3기동단 앞,2,60,,,99,2016,서울지방경찰청,02-700-5031,2020-05-31,1320000,경찰청,서울
152,4549,F9099,서울특별시,송파구,특별시도,,새말로,1,서울특별시 송파구 새말로,서울특별시 송파구 문정동 618,37.481528,127.121833,송파파크하비오푸르지오 205동 앞,2,60,,,99,2016,서울지방경찰청,02-700-5031,2020-05-31,1320000,경찰청,서울
153,4550,F9166,서울특별시,서초구,특별시도,,남부순환로,1,서울특별시 서초구 남부순환로,,37.474954,127.001966,경남아파트 앞 교차로,2,60,,,99,2016,서울지방경찰청,02-700-5031,2020-05-31,1320000,경찰청,서울
154,4551,F9167,서울특별시,강서구,일반국도,6번,방화대로,1,서울특별시 강서구 방화대로 96,,37.549134,126.816824,메이필드호텔앞교차로,2,60,,,99,2016,서울지방경찰청,02-700-5031,2020-05-31,1320000,경찰청,서울
155,4552,F9168,서울특별시,강서구,일반국도,6번,방화대로,2,서울특별시 강서구 방화대로,서울특별시 강서구 외발산동 산 71-16,37.540985,126.816276,메이필드호텔앞교차로 부천방면 전방800m,1,60,,,99,2016,서울지방경찰청,02-700-5031,2020-05-31,1320000,경찰청,서울
156,4553,F9169,서울특별시,동작구,특별시도,,장승배기로,1,서울특별시 동작구 장승배기로 160,,37.511538,126.940295,노량진초교 앞 : 스쿨존,2,40,,,2,2016,서울지방경찰청,02-700-5031,2020-05-31,1320000,경찰청,서울
157,4554,F9170,서울특별시,관악구,특별시도,,강남순환로,1,서울특별시 관악구 강남순환로,서울특별시 관악구 신림동 140-14,37.468959,126.947383,"관악IC(수서 방면) 1,2,3차로",1,80,,,99,2016,서울지방경찰청,02-700-5031,2020-05-31,1320000,경찰청,서울
158,4555,F9171,서울특별시,관악구,특별시도,,강남순환로,2,서울특별시 관악구 강남순환로,서울특별시 관악구 신림동 140-9,37.468971,126.947505,"관악IC(광명 방면) 1,2,3차로",1,80,,,99,2016,서울지방경찰청,02-700-5031,2020-05-31,1320000,경찰청,서울
159,4556,F9172,서울특별시,서초구,특별시도,,강남순환로,1,서울특별시 서초구 강남순환로,서울특별시 서초구 방배동 산 130-7,37.470461,126.986922,"사당IC(광명 방면) 1,2,3차로",1,80,,,99,2016,서울지방경찰청,02-700-5031,2020-05-31,1320000,경찰청,서울
160,4557,F9173,서울특별시,서초구,특별시도,,강남순환로,2,서울특별시 서초구 강남순환로,서울특별시 서초구 우면동 산 67-8,37.462053,127.018424,"서초터널 출구(수서 방면) 1,2,3차로",1,80,,,99,2016,서울지방경찰청,02-700-5031,2020-05-31,1320000,경찰청,서울
161,4558,F9174,서울특별시,은평구,특별시도,,가좌로,2,서울특별시 은평구 가좌로 391,,37.60055,126.904304,신사시티아파트 101동 앞,2,60,,,99,2018,서울지방경찰청,02-700-5031,2020-05-31,1320000,경찰청,서울
162,4559,F9175,서울특별시,양천구,특별시도,,신정로,2,서울특별시 양천구 신정로 110,,37.506421,126.83509,신정숲속마을@앞,2,50,,,99,2016,서울지방경찰청,02-700-5031,2020-05-31,1320000,경찰청,서울
163,4560,F9176,서울특별시,노원구,특별시도,,덕릉로,2,서울특별시 노원구 덕릉로,서울특별시 노원구 상계동 37-26,37.674206,127.085484,덕릉터널앞교차로,2,60,,,99,2016,서울지방경찰청,02-700-5031,2020-05-31,1320000,경찰청,서울
164,4561,F9177,서울특별시,서초구,특별시도,,신반포로,2,서울특별시 서초구 신반포로 15길,,37.505288,126.993806,신반포쇼핑센터 앞 : 스쿨존,2,30,,,2,2016,서울지방경찰청,02-700-5031,2020-05-31,1320000,경찰청,서울
165,4562,F9178,서울특별시,서초구,특별시도,,신반포로,2,서울특별시 서초구 신반포로 15길,,37.506617,126.993034,아크로리버파크 104동앞,2,30,,,99,2016,서울지방경찰청,02-700-5031,2020-05-31,1320000,경찰청,서울
166,4563,F9330,서울특별시,강남구,특별시도,,테헤란로,2,서울특별시 강남구 테헤란로,서울특별시 강남구 삼성동 170-9,37.509851,127.066189,강남경찰서 교차로,2,60,,,99,2016,서울지방경찰청,02-700-5031,2020-05-31,1320000,경찰청,서울
167,4564,F9331,서울특별시,강북구,특별시도,,도봉로,1,서울특별시 강북구 도봉로 162,,37.623104,127.027555,신일교회 앞,2,50,,,99,2016,서울지방경찰청,02-700-5031,2020-05-31,1320000,경찰청,서울
168,4565,F9332,서울특별시,강서구,일반국도,48번,공항대로,2,서울특별시 강서구 공항대로,서울특별시 강서구 공항동 53-44,37.561233,126.810091,송정초등학교 건너편,2,50,,,99,2016,서울지방경찰청,02-700-5031,2020-05-31,1320000,경찰청,서울
169,4566,F9333,서울특별시,강서구,일반국도,6번,공항대로,1,서울특별시 강서구 공항대로,서울특별시 강서구 염창동 283-4,37.547167,126.877417,현대오일뱅크 양화교주유소 앞,2,50,,,99,2016,서울지방경찰청,02-700-5031,2020-05-31,1320000,경찰청,서울
170,4567,F9334,서울특별시,관악구,특별시도,,관악로,2,서울특별시 관악구 관악로 285,,37.490665,126.956304,성현동아@104동앞,2,60,,,99,2016,서울지방경찰청,02-700-5031,2020-05-31,1320000,경찰청,서울
