,level_0,index,무인교통단속카메라관리번호,시도명,시군구명,도로종류,도로노선번호,도로노선명,도로노선방향,소재지도로명주소,소재지지번주소,위도,경도,설치장소,단속구분,제한속도,단속구간위치구분,과속단속구간길이,보호구역구분,설치연도,관리기관명,관리기관전화번호,데이터기준일자,제공기관코드,제공기관명,지역,보호구역
0,47,2275,주차58,서울특별시,강동구,시도,0,상일로,3.0,서울특별시 강동구 상일로11길 110,서울특별시 강동구 상일동 520-5,37.553392,127.165104,고현초교 앞,4,0,,200.0,2.0,2020.0,서울특별시 강동구청,02-3425-6317,2021-08-24,3240000,서울특별시 강동구,서울,어린이
1,48,2276,주차59,서울특별시,강동구,시도,0,양재대로,3.0,서울특별시 강동구 양재대로156길 11,서울특별시 강동구 고덕동 487-15,37.556636,127.144803,명덕초교 앞,4,0,,200.0,2.0,2020.0,서울특별시 강동구청,02-3425-6317,2021-08-24,3240000,서울특별시 강동구,서울,어린이
2,50,2278,주차61,서울특별시,강동구,시도,0,구천면로,1.0,서울특별시 강동구 구천면로93길 20,서울특별시 강동구 상일동 125,37.55154262,127.168561,고일초교 앞,4,0,,200.0,2.0,2020.0,서울특별시 강동구청,02-3425-6317,2021-08-24,3240000,서울특별시 강동구,서울,어린이
3,51,2279,주차62,서울특별시,강동구,시도,0,고덕로,1.0,서울특별시 강동구 고덕로46길 53,서울특별시 강동구 명일동 296-1,37.552208,127.146122,고명초교 앞,4,0,,200.0,2.0,2020.0,서울특별시 강동구청,02-3425-6317,2021-08-24,3240000,서울특별시 강동구,서울,어린이
4,52,2280,주차63,서울특별시,강동구,시도,0,아리수로,3.0,서울특별시 강동구 아리수로98길 24,서울특별시 강동구 강일동 685,37.564392,127.178237,강일초교 앞,4,0,,200.0,2.0,2020.0,서울특별시 강동구청,02-3425-6317,2021-08-24,3240000,서울특별시 강동구,서울,어린이
5,53,2281,주차64,서울특별시,강동구,시도,0,명일로,1.0,서울특별시 강동구 명일로 262,서울특별시 강동구 길동 82-4,37.54202100000001,127.147479,강동에코포레,4,0,,200.0,2.0,2020.0,서울특별시 강동구청,02-3425-6317,2021-08-24,3240000,서울특별시 강동구,서울,어린이
6,55,2283,주차66,서울특별시,강동구,시도,0,고덕로,3.0,서울특별시 강동구 고덕로97길 80,서울특별시 강동구 강일동 694,37.5618696246,127.1802670557,강솔초교 앞,4,0,,200.0,2.0,2020.0,서울특별시 강동구청,02-3425-6317,2021-08-24,3240000,서울특별시 강동구,서울,어린이
7,60,2476,주정차단속-095,서울특별시,마포구,구도,48,월드컵북로,3.0,서울특별시 마포구 월드컵북로 502,,37.58504618,126.879871,하늘초등학교 주변,4,0,,,2.0,2007.0,마포구청,02-3153-9655,2020-10-29,3130000,서울특별시 마포구,서울,어린이
8,61,2477,주정차단속-096,서울특별시,마포구,구도,212,월드컵로42길,3.0,서울특별시 마포구 월드컵로42길13,,37.5787582,126.88080490000002,서부면허시험장 앞,4,0,,,2.0,2010.0,마포구청,02-3153-9655,2020-10-29,3130000,서울특별시 마포구,서울,어린이
9,63,2479,주정차단속-098,서울특별시,마포구,구도,없음,대흥로20길,3.0,서울특별시 마포구 대흥로20길 28,,37.5499060881,126.946079,마포자이A3차주변,4,0,,,2.0,2019.0,마포구청,02-3153-9655,2020-10-29,3130000,서울특별시 마포구,서울,어린이
10,64,2480,주정차단속-099,서울특별시,마포구,구도,없음,백범로17길,3.0,서울특별시 마포구 백범로17길 38,,37.548775,126.944537,용강초등학교 후문 주변,4,0,,,2.0,2019.0,마포구청,02-3153-9655,2020-10-29,3130000,서울특별시 마포구,서울,어린이
11,66,2482,주정차단속-101,서울특별시,마포구,구도,없음,독막로,3.0,서울특별시 마포구 독막로 210,,37.547256,126.936958,성원아파트 주변,4,0,,,2.0,2019.0,마포구청,02-3153-9655,2020-10-29,3130000,서울특별시 마포구,서울,어린이
12,82,2560,주차46,서울특별시,강동구,시도,0,진황도로,1.0,서울특별시 강동구 진황도로 160,서울특별시 강동구 둔촌동 452-2,37.5319264,127.141845,애지어린이집 앞,4,0,,200.0,2.0,2012.0,서울특별시 강동구청,02-3425-6317,2021-08-24,3240000,서울특별시 강동구,서울,어린이
13,83,2561,주차47,서울특별시,강동구,시도,0,구천면로,1.0,서울특별시 강동구 구천면로 271,서울특별시 강동구 천호동 298-4,37.54434970000001,127.1323481,천일초교 사거리,4,0,,200.0,2.0,2014.0,서울특별시 강동구청,02-3425-6317,2021-08-24,3240000,서울특별시 강동구,서울,어린이
14,86,2564,주차50,서울특별시,강동구,구도,0,상일로10길,3.0,서울특별시 강동구 상일로10길 36,서울특별시 강동구 상일동 501,37.5508023,127.1740049,고덕리엔파크3단지 서문,4,0,,200.0,2.0,2016.0,서울특별시 강동구청,02-3425-6317,2021-08-24,3240000,서울특별시 강동구,서울,어린이
15,87,2565,주차51,서울특별시,강동구,시도,0,진황도로,2.0,서울특별시 강동구 진황도로 190,서울특별시 강동구 둔촌동 75-6,37.52925982,127.142983,보훈병원 사거리,4,0,,200.0,2.0,2017.0,서울특별시 강동구청,02-3425-6317,2021-08-24,3240000,서울특별시 강동구,서울,어린이
16,99,4183,주차20,서울특별시,강동구,시도,0,천중로,2.0,서울특별시 강동구 천중로 253,서울특별시 강동구 길동 477,37.540308,127.1485756,신동아아파트상가,4,0,,200.0,2.0,2008.0,서울특별시 강동구청,02-3425-6317,2021-08-24,3240000,서울특별시 강동구,서울,어린이
17,103,4187,주차24,서울특별시,강동구,시도,0,성안로,2.0,서울특별시 강동구 성안로 201,서울특별시 강동구 천호동 122-1,37.540864,127.136896,천동초교 사거리,4,0,,200.0,2.0,2008.0,서울특별시 강동구청,02-3425-6317,2021-08-24,3240000,서울특별시 강동구,서울,어린이
18,124,4234,주차12,서울특별시,강동구,시도,0,양재대로,3.0,서울특별시 강동구 양재대로 1315,서울특별시 강동구 성내동 440-1,37.5238379,127.1342786,신한은행 둔촌동지점 앞,4,0,,200.0,2.0,2006.0,서울특별시 강동구청,02-3425-6317,2021-08-24,3240000,서울특별시 강동구,서울,어린이
19,126,4517,F9336,서울특별시,도봉구,특별시도,,노해로,2.0,서울특별시 도봉구 노해로,서울특별시 도봉구 쌍문동 315-8,37.650056,127.02798,숭미초등학교 앞,2,30,,,2.0,2016.0,서울지방경찰청,02-700-5031,2020-05-31,1320000,경찰청,서울,어린이
20,127,4518,F9337,서울특별시,동대문구,특별시도,,국회대로,1.0,서울특별시 동대문 사가정로,서울특별시 동대문구 전농동 307-7,37.574515000000005,127.05346599999999,전농초등학교,2,40,,,2.0,2016.0,서울지방경찰청,02-700-5031,2020-05-31,1320000,경찰청,서울,어린이
21,146,4543,F9093,서울특별시,관악구,특별시도,,난곡로,1.0,서울특별시 관악구 난곡로,서울특별시 관악구 신림동 637-15,37.470062,126.92013200000001,우림시장앞,2,30,,,2.0,2016.0,서울지방경찰청,02-700-5031,2020-05-31,1320000,경찰청,서울,어린이
22,156,4553,F9169,서울특별시,동작구,특별시도,,장승배기로,1.0,서울특별시 동작구 장승배기로 160,,37.511538,126.94029499999999,노량진초교 앞 : 스쿨존,2,40,,,2.0,2016.0,서울지방경찰청,02-700-5031,2020-05-31,1320000,경찰청,서울,어린이
23,164,4561,F9177,서울특별시,서초구,특별시도,,신반포로,2.0,서울특별시 서초구 신반포로 15길,,37.505288,126.993806,신반포쇼핑센터 앞 : 스쿨존,2,30,,,2.0,2016.0,서울지방경찰청,02-700-5031,2020-05-31,1320000,경찰청,서울,어린이
24,173,6998,99,서울특별시,은평구,구도,,증산동,3.0,서울특별시 은평구 증산동 223-13,서울특별시 은평구 수색로195,37.58426408,126.9044678,DMC 주변,4,30,,,2.0,,서울특별시 은평구청,02-351-7804,2021-09-01,3110000,서울특별시 은평구,서울,어린이
25,176,7001,102,서울특별시,은평구,구도,,진관1로,3.0,서울특별시 은평구 진관1로 55,서울특별시 은평구 진광동 106,37.63199016,126.925787,진관어린이집 부근,4,30,,,2.0,,서울특별시 은평구청,02-351-7804,2021-09-01,3110000,서울특별시 은평구,서울,어린이
26,177,7002,103,서울특별시,은평구,구도,,대조동,3.0,서울특별시 은평구 대조동 255-13,서울특별시 은평구 대조동 255-13,37.61209401,126.9200674,대조초등학교 부근,4,30,,,2.0,,서울특별시 은평구청,02-351-7804,2021-09-01,3110000,서울특별시 은평구,서울,어린이
27,178,7003,104,서울특별시,은평구,구도,,녹번로,3.0,서울특별시 은평구 녹번로 12,서울특별시 은평구 녹번동 83-8,37.60326588,126.927312,녹번초등학교 주변,4,30,,,2.0,,서울특별시 은평구청,02-351-7804,2021-09-01,3110000,서울특별시 은평구,서울,어린이
28,179,7004,105,서울특별시,은평구,구도,,은평터널로,3.0,서울특별시 은평구 은평터널로 150,서울특별시 은평구 신사동 194,37.59218566,126.9067785,서신초등학교 후문,4,30,,,2.0,,서울특별시 은평구청,02-351-7804,2021-09-01,3110000,서울특별시 은평구,서울,어린이
29,180,7005,106,서울특별시,은평구,구도,,갈현로,3.0,서울특별시 은평구 갈현로29길 27,서울특별시 은평구 갈현동 240-1,37.61960504,126.9140179,선일초등학교 정문,4,30,,,2.0,,서울특별시 은평구청,02-351-7804,2021-09-01,3110000,서울특별시 은평구,서울,어린이
30,181,7006,107,서울특별시,은평구,구도,,불광로,3.0,서울특별시 은평구 불광로 177,서울특별시 은평구 불광2동 194-1,37.62238207,126.9310756,불광중학교(불광어린이집) 주변,4,30,,,2.0,,서울특별시 은평구청,02-351-7804,2021-09-01,3110000,서울특별시 은평구,서울,어린이
31,182,7007,108,서울특별시,은평구,구도,,연서로3길,3.0,서울특별시 은평구 연서로3길 40,서울특별시 은평구 역촌동 68-35,37.60292818,126.91125759999998,예본어린이집 부근,4,30,,,2.0,,서울특별시 은평구청,02-351-7804,2021-09-01,3110000,서울특별시 은평구,서울,어린이
32,183,7008,109,서울특별시,은평구,구도,,연서로,3.0,서울특별시 은평구 연서로27길 27,서울특별시 은평구 갈현동501-10,37.61861937,126.91644840000002,갈현초등학교정문앞,4,30,,,2.0,,서울특별시 은평구청,02-351-7804,2021-09-01,3110000,서울특별시 은평구,서울,어린이
33,184,7009,110,서울특별시,은평구,구도,,서오릉로17길,3.0,서울특별시 은평구 서오릉로17길 15-19,서울특별시 은평구 구산동 147-7,37.61299788,126.9089174,구산초등학교 부근,4,30,,,2.0,,서울특별시 은평구청,02-351-7804,2021-09-01,3110000,서울특별시 은평구,서울,어린이
34,186,7011,112,서울특별시,은평구,구도,,불광동,3.0,서울특별시 은평구 불광동 70-1,서울특별시 은평구 불광동 70-1,37.62604567,126.9289395,연신초등학교후문앞,4,30,,,2.0,,서울특별시 은평구청,02-351-7804,2021-09-01,3110000,서울특별시 은평구,서울,어린이
35,187,7012,113,서울특별시,은평구,구도,,진관1로,3.0,서울특별시 은평구 진관1로 21-10,서울특별시 은평구 진관동 102,37.63300437,126.9217255,은진초교 부근,4,30,,,2.0,,서울특별시 은평구청,02-351-7804,2021-09-01,3110000,서울특별시 은평구,서울,어린이
36,188,7013,114,서울특별시,은평구,구도,,서오릉로,3.0,서울특별시 은평구 서오릉로15길 7,서울특별시 은평구 구산동 209-1,37.61363087,126.90987520000002,구산초등학교 정문,4,30,,,2.0,,서울특별시 은평구청,02-351-7804,2021-09-01,3110000,서울특별시 은평구,서울,어린이
37,190,7015,116,서울특별시,은평구,구도,,진관동,3.0,서울특별시 은평구 진관동 8,서울특별시 은평구 진관4로78-16,37.64462051,126.9300865,진관초 정문앞 주변,4,30,,,2.0,,서울특별시 은평구청,02-351-7804,2021-09-01,3110000,서울특별시 은평구,서울,어린이
38,191,7016,117,서울특별시,은평구,구도,805,연서로3나길,3.0,서울특별시 은평구 연서로3나길 2,서울특별시 은평구 역촌동 66-32,37.602239,126.9132315,역촌초교 북문(주변),4,30,,,2.0,,서울특별시 은평구청,02-351-7804,2021-09-01,3110000,서울특별시 은평구,서울,어린이
39,199,7031,79,서울특별시,은평구,구도,없음,가좌로,3.0,서울특별시 은평구 가좌로 276,서울특별시 은평구 신사동 35-34,37.5933429,126.9133437,신사초교 주변,4,50,,,2.0,,서울특별시 은평구청,02-351-7804,2021-09-01,3110000,서울특별시 은평구,서울,어린이
40,200,7032,80,서울특별시,은평구,구도,1123,연서로18가길,3.0,서울특별시 은평구 연서로18가길 1,서울특별시 은평구 대조동 47-1,37.6121646,126.919998,대조초등학교,4,30,,,2.0,,서울특별시 은평구청,02-351-7804,2021-09-01,3110000,서울특별시 은평구,서울,어린이
41,201,7033,81,서울특별시,은평구,구도,955,통일로69길,3.0,서울특별시 은평구 통일로69길 11,서울특별시 은평구 대조동 3-55,37.611389,126.927321,대은초등학교,4,30,,,2.0,,서울특별시 은평구청,02-351-7804,2021-09-01,3110000,서울특별시 은평구,서울,어린이
42,202,7034,82,서울특별시,은평구,구도,810,백련산로2길,3.0,서울특별시 은평구 백련산로2길 35,서울특별시 은평구 응암동 759-2,37.59073239999999,126.924523,연은초등학교,4,30,,,2.0,,서울특별시 은평구청,02-351-7804,2021-09-01,3110000,서울특별시 은평구,서울,어린이
43,203,7035,83,서울특별시,은평구,구도,,연서로,3.0,서울특별시 은평구 연서로 34길,서울특별시 은평구 불광동 346-153,37.6211896,126.9290475,연천초교 부근,4,30,,,2.0,,서울특별시 은평구청,02-351-7804,2021-09-01,3110000,서울특별시 은평구,서울,어린이
44,204,7036,84,서울특별시,은평구,구도,,불광로,3.0,서울특별시 은평구 불광로 14길,서울특별시 은평구 불광동 640,37.61954385,126.93324309999998,수리초교 부근,4,30,,,2.0,,서울특별시 은평구청,02-351-7804,2021-09-01,3110000,서울특별시 은평구,서울,어린이
45,205,7037,85,서울특별시,은평구,구도,,갈현로,3.0,서울특별시 은평구 갈현로 15길 42,서울특별시 은평구 구산동 167-11,37.60917058,126.9071921,구현초교 부근,4,30,,,2.0,,서울특별시 은평구청,02-351-7804,2021-09-01,3110000,서울특별시 은평구,서울,어린이
46,206,7038,86,서울특별시,은평구,구도,,연서로,3.0,서울특별시 은평구 연서로 55,서울특별시 은평구 역촌동 63-1,37.60406763,126.914794,역촌초교부근,4,30,,,2.0,,서울특별시 은평구청,02-351-7804,2021-09-01,3110000,서울특별시 은평구,서울,어린이
47,207,7039,87,서울특별시,은평구,구도,없음,가좌로,3.0,서울특별시 은평구 가좌로 361,서울특별시 은평구 신사동 230-11,37.597677,126.9046048862,상신초 정문,4,30,,,2.0,,서울특별시 은평구청,02-351-7804,2021-09-01,3110000,서울특별시 은평구,서울,어린이
48,208,7040,88,서울특별시,은평구,구도,,통일로 660,3.0,서울특별시 은평구통일로 660,서울특별시 은평구 녹번동 281,37.60349147,126.9321581,어울초등학교,4,30,,,2.0,,서울특별시 은평구청,02-351-7804,2021-09-01,3110000,서울특별시 은평구,서울,어린이
49,209,7041,89,서울특별시,은평구,구도,,진관동,3.0,서울특별시 은평구 진관동 38-25,서울특별시 은평구 진관동 38-25,37.61104863,126.9084026,은빛초등학교,4,30,,,2.0,,서울특별시 은평구청,02-351-7804,2021-09-01,3110000,서울특별시 은평구,서울,어린이
50,210,7042,90,서울특별시,은평구,구도,,구산동,3.0,서울특별시 은평구 구산동 159-2,서울특별시 은평구 구산동 159-2,37.61105112,126.9084057,구산초등학교,4,30,,,2.0,,서울특별시 은평구청,02-351-7804,2021-09-01,3110000,서울특별시 은평구,서울,어린이
51,211,7043,91,서울특별시,은평구,구도,,갈현로,3.0,서울특별시 은평구 갈현로9길 18,서울특별시 은평구 역촌동 71-12,37.60507778,126.9085136,은평대영학교,4,30,,,2.0,,서울특별시 은평구청,02-351-7804,2021-09-01,3110000,서울특별시 은평구,서울,어린이
52,212,7044,92,서울특별시,은평구,구도,,가좌로6길,3.0,서울특별시 은평구 가좌로6길 21-1,서울특별시 은평구 응암동 285-1,37.58798759,126.9205332,응암초등학교 후문,4,30,,,2.0,,서울특별시 은평구청,02-351-7804,2021-09-01,3110000,서울특별시 은평구,서울,어린이
53,213,7045,93,서울특별시,은평구,구도,,연서로35길,3.0,서울특별시 은평구 연서로35길 38,서울특별시 은평구 불광동 442-48,37.62408406,126.9251926,연광초등학교 정문,4,30,,,2.0,,서울특별시 은평구청,02-351-7804,2021-09-01,3110000,서울특별시 은평구,서울,어린이
54,214,7046,94,서울특별시,은평구,구도,,연서로20길,3.0,서울특별시 은평구 연서로20길 20-8,서울특별시 은평구 대조동 214-26,37.61357878,126.9202282,대조초등학교 후문,4,30,,,2.0,,서울특별시 은평구청,02-351-7804,2021-09-01,3110000,서울특별시 은평구,서울,어린이
55,215,7047,95,서울특별시,은평구,구도,,통일로71길,3.0,서울특별시 은평구 통일로71길 24-30,서울특별시 은평구 대조동 84-92,37.61246338,126.9261156,대은초등학교 후문,4,30,,,2.0,,서울특별시 은평구청,02-351-7804,2021-09-01,3110000,서울특별시 은평구,서울,어린이
56,216,7048,96,서울특별시,은평구,구도,,은평로4길,3.0,서울특별시 은평구 은평로4길 20-1,서울특별시 은평구 응암동 113-13,37.59759438,126.9168926,은명초등학교 후문,4,30,,,2.0,,서울특별시 은평구청,02-351-7804,2021-09-01,3110000,서울특별시 은평구,서울,어린이
57,217,7049,97,서울특별시,은평구,구도,,녹번로,3.0,서울특별시 은평구 녹번로 12,서울특별시 은평구 녹번동83-8,37.60323188,126.9272906,녹번초등학교 정문,4,30,,,2.0,,서울특별시 은평구청,02-351-7804,2021-09-01,3110000,서울특별시 은평구,서울,어린이
58,218,7050,98,서울특별시,은평구,구도,,통일로78길,3.0,서울특별시 은평구 통일로78길 12-4,서울특별시 은평구 불광동 301-92,37.61789898,126.9238542,성모자애 어린이집,4,30,,,2.0,,서울특별시 은평구청,02-351-7804,2021-09-01,3110000,서울특별시 은평구,서울,어린이
59,219,7051,63,서울특별시,은평구,구도,1243번,연서로41길,3.0,서울특별시 은평구 연서로41길 14,서울특별시 은평구 불광동 81-1,37.62612523,126.9276676,연신초교(주변),4,30,,,2.0,,서울특별시 은평구청,02-351-7804,2021-09-01,3110000,서울특별시 은평구,서울,어린이
60,220,7052,64,서울특별시,은평구,구도,1072번,연서로27길,3.0,서울특별시 은평구 연서로27길 12,,37.618033,126.91818700000002,중앙성서교회(주변),4,30,,,2.0,,서울특별시 은평구청,02-351-7804,2021-09-01,3110000,서울특별시 은평구,서울,어린이
61,221,7053,65,서울특별시,은평구,구도,125번,갈현로,3.0,서울특별시 은평구 갈현로 247,,37.61913445,126.9154328,선일초교(주변),4,30,,,2.0,,서울특별시 은평구청,02-351-7804,2021-09-01,3110000,서울특별시 은평구,서울,어린이
62,222,7054,66,서울특별시,은평구,구도,없음,은평로,3.0,서울특별시 은평구 은평로 237,,37.60104548,126.9341043,은평초교(주변),4,30,,,2.0,,서울특별시 은평구청,02-351-7804,2021-09-01,3110000,서울특별시 은평구,서울,어린이
63,223,7055,67,서울특별시,은평구,구도,165번,불광로,3.0,서울특별시 은평구 불광로 60,,37.612209,126.9321304,불광초교(주변),4,30,,,2.0,,서울특별시 은평구청,02-351-7804,2021-09-01,3110000,서울특별시 은평구,서울,어린이
64,224,7056,68,서울특별시,은평구,구도,950번,연서로13길,3.0,서울특별시 은평구 연서로13길 19-1,,37.60997373,126.9139878,예일초교(주변),4,30,,,2.0,,서울특별시 은평구청,02-351-7804,2021-09-01,3110000,서울특별시 은평구,서울,어린이
65,226,7058,70,서울특별시,은평구,구도,1078번,연서로29길,3.0,서울특별시 은평구 연서로29길 25,,37.61950535,126.9175505,갈현초교 삼거리(주변),4,30,,,2.0,,서울특별시 은평구청,02-351-7804,2021-09-01,3110000,서울특별시 은평구,서울,어린이
66,238,7352,61,서울특별시,은평구,구도,651번,은평로8길,3.0,서울특별시 은평구 은평로8길 42,,37.59694549,126.9188663,은명초교(주변),4,30,,,2.0,,서울특별시 은평구청,02-351-7804,2021-09-01,3110000,서울특별시 은평구,서울,어린이
67,239,7353,62,서울특별시,은평구,구도,504번,증산서길,3.0,서울특별시 은평구 증산서길 53,,37.5816542,126.9048558,증산초교(주변),4,30,,,2.0,,서울특별시 은평구청,02-351-7804,2021-09-01,3110000,서울특별시 은평구,서울,어린이
68,249,7363,34,서울특별시,은평구,구도,508,은평터널로,3.0,서울특별시 은평구 은평터널로 149,서울특별시 은평구 신사동 192-1,37.59231434,126.90660859999998,서신초교 부근,4,30,,,2.0,,서울특별시 은평구청,02-351-7804,2021-09-01,3110000,서울특별시 은평구,서울,어린이
69,604,10718,302,서울특별시,종로구,구도,29번,대학로,3.0,서울특별시 종로구 대학로 64,서울특별시 종로구 이화동 149,37.5775997032,127.0042955217,서울사대부설초교 주변,4,50,,,2.0,2003.0,서울특별시 종로구청,02-2148-3372,2021-12-01,3000000,서울특별시 종로구,서울,어린이
